Status,Date_Time,City,State,Country,Shape,Summary,Has_Media,Explanation
Open,01/22/2026 22:00,San Fernando,CA,USA,Orb,Formation of 4 large glowing orbs in a stationary horizontal arc. Observed for several miles on the right side of I-5 North (Eastward).,01/22/2026,Y
Open .,01/22/2026 20:15,Guerneville,CA,USA,Changing,Object suddenly hovers above redwood trees in front of me,01/24/2026,
Open,01/21/2026 20:19,,CA,Canada,Orb,"Blinking, then flashing, then solid coloring",01/22/2026,
Open,01/18/2026 14:30,Colusa,CA,USA,Other,"Pick ace shaped, very bright. The “tail” was opaque. It was streaking across the sky. East to west",01/24/2026,Y
Open,01/17/2026 04:15,San Diego,CA,USA,Star,Each craft appeared as stars until they moved,01/17/2026,
Open,01/11/2026 04:35,Rancho Mirage,CA,USA,Orb,"Three dates with two viewers: approx 10,000 foot elevation with fixed (no sound) hovering followed by movement and repositioning",01/11/2026,Y
Open,01/03/2026 03:00,Whittier,CA,USA,Orb,I watched it for amount an hour.,01/04/2026,Y
Open,01/02/2026 18:05,Folsom,CA,USA,Unknown,"Obs for 30 min, video 28 min; wht/org lighting; magnification = multiple shapes spinning opposite; altitude changes; almost full moon",01/03/2026,
Open,01/02/2026 03:45,Alta Sierra,CA,USA,Orb,Orbs falling,01/15/2026,
Open,12/30/2025 06:54,Milpitas,CA,USA,Orb,"Was at a Red light and saw something not right, Not a airplane or a Drone no FAA lights its was moving slow and low.",12/30/2025,Y
Open,12/29/2025 12:00,San Francisco,CA,USA,Cylinder,I have video and photo of object hovering over San Francisco,12/30/2025,Y
Open,12/28/2025 02:05,San Diego,CA,USA,Light,"Blinking round red light in the sky houvered then moved up, down & sideways. Blinked red, turned white 4 times during 3 minutes.",12/28/2025,Y
Open,12/27/2025 03:49,Madera,CA,USA,Circle,Circular object with flashing lights,12/27/2025,Y
Open,12/26/2025 23:59,,CA,USA,Other,Black craft that prevented seeing stars,12/27/2025,
Open,12/26/2025 19:50,Bodega Bay,CA,USA,Sphere,Taking startrail pictures noticed light moving strangely. Caught on gopro and insta360.,12/27/2025,Y
Open,12/25/2025 05:40,Lake Elsinore,CA,USA,Light,Fleet of UFOs Coming From One Direction Fly East Following One Path,12/30/2025,
Open,12/22/2025 16:50,Encinitas,CA,USA,Disk,A car-bus size aircraft traveling south quietly over my neighborhood,12/22/2025,
Open,12/20/2025 18:07,Encinitas,CA,USA,Disk,It was a silent aircraft doing circles over the greenhouses,12/22/2025,Y
Open,12/16/2025 08:25,Paso Robles,CA,USA,Circle,"Shiny silver and white dot sharply turned left, something that jet planes can't do.",12/16/2025,
Open,12/10/2025 03:45,Bloomington,CA,USA,Flash,"We were driving to the airport, a bright orange streak, subsiding to a point of light and then disappearing was seen.",12/10/2025,Y
